time=55540, port=1, receive=0

time=55550, port=1, receive=1

time=55560, port=1, receive=0

time=55570, port=1, receive=1

time=55580, port=1, receive=0

time=55590, port=1, receive=0

time=55600, port=1, receive=1

time=55610, port=1, receive=0

time=55620, port=1, receive=0

time=55630, port=1, receive=1

time=55640, port=1, receive=0

time=55650, port=1, receive=0

time=55660, port=1, receive=1

time=55670, port=1, receive=0

time=55680, port=1, receive=1

time=55690, port=1, receive=0

time=55700, port=1, receive=0

time=55710, port=1, receive=1

time=55720, port=1, receive=0

time=55730, port=1, receive=1

time=55740, port=1, receive=1

time=55750, port=1, receive=0

time=55760, port=1, receive=null, cause=data_ended

time=59150, port=1, receive=1

time=59160, port=1, receive=1

time=59170, port=1, receive=1

time=59180, port=1, receive=1

time=59190, port=1, receive=1

time=59200, port=1, receive=1

time=59210, port=1, receive=1

time=59220, port=1, receive=1

time=59230, port=1, receive=1

time=59240, port=1, receive=1

time=59250, port=1, receive=1

time=59260, port=1, receive=1

time=59270, port=1, receive=1

time=59280, port=1, receive=1

time=59290, port=1, receive=1

time=59300, port=1, receive=1

time=59310, port=1, receive=1

time=59320, port=1, receive=0

time=59330, port=1, receive=1

time=59340, port=1, receive=0

time=59350, port=1, receive=1

time=59360, port=1, receive=0

time=59370, port=1, receive=1

time=59380, port=1, receive=0

time=59390, port=1, receive=0

time=59400, port=1, receive=0

time=59410, port=1, receive=0

time=59420, port=1, receive=0

time=59430, port=1, receive=0

time=59440, port=1, receive=0

time=59450, port=1, receive=1

time=59460, port=1, receive=1

time=59470, port=1, receive=0

time=59480, port=1, receive=0

time=59490, port=1, receive=0

time=59500, port=1, receive=0

time=59510, port=1, receive=1

time=59520, port=1, receive=1

time=59530, port=1, receive=0

time=59540, port=1, receive=0

time=59550, port=1, receive=0

time=59560, port=1, receive=0

time=59570, port=1, receive=0

time=59580, port=1, receive=0

time=59590, port=1, receive=0

time=59600, port=1, receive=0

time=59610, port=1, receive=1

time=59620, port=1, receive=0

time=59630, port=1, receive=0

time=59640, port=1, receive=0

time=59650, port=1, receive=0

time=59660, port=1, receive=0

time=59670, port=1, receive=1

time=59680, port=1, receive=0

time=59690, port=1, receive=1

time=59700, port=1, receive=0

time=59710, port=1, receive=0

time=59720, port=1, receive=0

time=59730, port=1, receive=0

time=59740, port=1, receive=0

time=59750, port=1, receive=0

time=59760, port=1, receive=1

time=59770, port=1, receive=1

time=59780, port=1, receive=0

time=59790, port=1, receive=0

time=59800, port=1, receive=1

time=59810, port=1, receive=1

time=59820, port=1, receive=1

time=59830, port=1, receive=1

time=59840, port=1, receive=0

time=59850, port=1, receive=1

time=59860, port=1, receive=0

time=59870, port=1, receive=0

time=59880, port=1, receive=0

time=59890, port=1, receive=0

time=59900, port=1, receive=0

time=59910, port=1, receive=0

time=59920, port=1, receive=0

time=59930, port=1, receive=0

time=59940, port=1, receive=1

time=59950, port=1, receive=0

time=59960, port=1, receive=0

time=59970, port=1, receive=0

time=59980, port=1, receive=0

time=59990, port=1, receive=1

time=60000, port=1, receive=0

time=60010, port=1, receive=1

time=60020, port=1, receive=0

time=60030, port=1, receive=0

time=60040, port=1, receive=0

time=60050, port=1, receive=0

time=60060, port=1, receive=0

time=60070, port=1, receive=0

time=60080, port=1, receive=1

time=60090, port=1, receive=1

time=60100, port=1, receive=0

time=60110, port=1, receive=0

time=60120, port=1, receive=1

time=60130, port=1, receive=1

time=60140, port=1, receive=1

time=60150, port=1, receive=1

time=60160, port=1, receive=0

time=60170, port=1, receive=1

time=60180, port=1, receive=0

time=60190, port=1, receive=0

time=60200, port=1, receive=0

